잼 ID,아이템 키 참조여부,스킬ID 참조여부,상태이상 타입(fire=0, poison=1, bleed=2),데미지 주기(1=1초),발동 방식(assignTarget=0, strikeLocation=1),상태 지속시간(1=1초),최대 중첩 횟수,방어력 감소량 (0.01=1%),아이콘 경로,사운드 경로,시전 VFX 경로,추가 VFX 경로,주석
m5ID,m5ItemID,skillID,m5Type,tickInterval,applyType,duration,maxStack,defDown,icon,sound,m5VFX,m5VFX2,desc
int,int,int,enum,float,enum,float,int,float,string,string,string,string,string
4050001,3220001,4000001,0,0.3,1,2.1,0,0.1,Assets/Resources/Sprite/gemicon_4050001,Assets/Resources/Sound/SFX/gemsound_4050001,Assets/02. Prefabs/Skill/gemvfx_4050001.prefab,Assets/02. Prefabs/Skill/gemvfx2_4050001.prefab,잔영 베기
4050002,3220002,4000001,1,0.5,0,5,0,0,Assets/Resources/Sprite/gemicon_4050002,Assets/Resources/Sound/SFX/gemsound_4050002,Assets/02. Prefabs/Skill/gemvfx_4050002.prefab,Assets/02. Prefabs/Skill/gemvfx2_4050002.prefab,잔영 베기
4050003,3220003,4000001,2,1,0,8,5,0,Assets/Resources/Sprite/gemicon_4050003,Assets/Resources/Sound/SFX/gemsound_4050003,Assets/02. Prefabs/Skill/gemvfx_4050003.prefab,0,잔영 베기
4050004,3220004,4000002,0,0.3,1,2.1,0,0.1,Assets/Resources/Sprite/gemicon_4050004,Assets/Resources/Sound/SFX/gemsound_4050004,Assets/02. Prefabs/Skill/gemvfx_4050001.prefab,Assets/02. Prefabs/Skill/gemvfx2_4050001.prefab,환상 비수
4050005,3220005,4000002,1,0.5,0,5,0,0,Assets/Resources/Sprite/gemicon_4050005,Assets/Resources/Sound/SFX/gemsound_4050005,Assets/02. Prefabs/Skill/gemvfx_4050002.prefab,Assets/02. Prefabs/Skill/gemvfx2_4050002.prefab,환상 비수
4050006,3220006,4000002,2,1,0,8,5,0,Assets/Resources/Sprite/gemicon_4050006,Assets/Resources/Sound/SFX/gemsound_4050006,Assets/02. Prefabs/Skill/gemvfx_4050003.prefab,0,환상 비수
4050007,3220007,4000003,0,0.3,1,2.1,0,0.1,Assets/Resources/Sprite/gemicon_4050007,Assets/Resources/Sound/SFX/gemsound_4050007,Assets/02. Prefabs/Skill/gemvfx_4050001.prefab,Assets/02. Prefabs/Skill/gemvfx2_4050001.prefab,칼날 폭풍
4050008,3220008,4000003,1,0.5,0,5,0,0,Assets/Resources/Sprite/gemicon_4050008,Assets/Resources/Sound/SFX/gemsound_4050008,Assets/02. Prefabs/Skill/gemvfx_4050002.prefab,Assets/02. Prefabs/Skill/gemvfx2_4050002.prefab,칼날 폭풍
4050009,3220009,4000003,2,1,0,8,5,0,Assets/Resources/Sprite/gemicon_4050009,Assets/Resources/Sound/SFX/gemsound_4050009,Assets/02. Prefabs/Skill/gemvfx_4050003.prefab,0,칼날 폭풍
